::Kansallisen Kokoomuksen eduskuntaryhmä
Kirsti Ala-Harja
Pirjo-Riitta Antvuori
Kaarina Dromberg
Kari Häkämies
Maija Perho
Heikki A. Ollila
Hanna Markkula-Kivisilta
Pertti Salolainen
Riitta Uosukainen
Iiro Viinanen
Ilkka Suominen
Kimmo Sasi
Pentti Mäki-Hakola
Ben Zyskowicz
Sauli Niinistö
Sirpa Pietikäinen
Kirsi Piha
Pekka Kivelä
Anna-Kaarina Louvo
Kalevi Lamminen
Maunu Kohijoki
Ilkka Kanerva
Ritva Laurila
Leila Lehtinen
Matti Lahtinen
Timo Ihamäki
Riitta Jouppila
Marjut Kaarilahti
Minna Karhunen
Mauri Miettinen
Riitta Kauppinen
Anssi Rauramo
Pirjo Rusanen
Väinö Saario
Riitta Saastamoinen
Veikko Savela
Jouni Särkijärvi
Anneli Taina
Irmeli Takala
Martti Tiuri
Kyösti Toivonen
Eeva Turunen
Päivi Varpasuo
::Sosialidemokraattinen eduskuntaryhmä
Pertti Paasio
Arja Alho
Reijo Laitinen
Tarja Kautto
Saara-Maria Paakkinen
Arja Ojala
Kari Urpilainen
Jouni Backman
Leena Luhtanen
Matti Luttinen
Kari Rajamäki
Reijo Lindroos
Erkki Tuomioja
Erja Lahikainen
Lauri Metsämäki
Pentti Lahti-Nuuttila
Anna-Liisa Kasurinen
Ulpu Iivari
Antti Kalliomäki
Riitta Myller
Aarno von Bell
Jukka Gustafsson
Juha Korkeaoja
Ossi Korteniemi
Jouko Skinnari
Timo Korva
Markku Koski
Pirkko Hacklin
Tarja Halonen
Sinikka Hurskainen
Liisa Jaakonsaari
Antero Kekkonen
Paavo Lipponen
Matti Louekoski
Tuula Linnainmaa
Tuulikki Hämäläinen
Johannes Koskinen
Kyllikki Muttilainen
Mats Nyby
Virpa Puisto
Jussi Ranta
Maija-Liisa Rask
Heikki Rinne
Jukka Roos
Timo Roos
Mikko Rönnholm
Lea Savolainen
Marja-Liisa Tykkyläinen
Kerttu Törnqvist
Marjatta Vehkaoja
Marja-Leena Viljamaa
Raimo Vuoristo
Matti Vähänäkki
::Keskustan eduskuntaryhmä
Hannu Kemppainen
Olli Rehn
Kyösti Virrankoski
Raili Puhakka
Mikko Pesälä
Tero Mölsä
Markku Lehtosaari
Matti Vanhanen
Johannes Leppänen
Mauri Pekkarinen
Helmi Morri
Hannele Pokka
Anneli Jäätteenmäki
Kauko Juhantalo
Eeva Kuuskoski
Seppo Kääriäinen
Tytti Isohookana
Esko Aho
Olavi Ala-Nissilä
Raimo Liikkanen
Paavo Väyrynen
Maija-Liisa Lindqvist
Juhani Alaranta
Sirkka-Liisa Anttila
Maria Kaisa Aula
Markku Laukkanen
Rose-Marie Björkenheim
Kauko Heikkinen
Annikki Koistinen
Armas Komi
Esko Jokiniemi
Jorma Huuhtanen
Timo Kalli
Tuula Ikonen-Graafmans
Timo Järvilahti
Riitta Kauppinen
Seppo Pelttar
Jarmo Laivoranta
Kalevi Mattila
Lasse Näsi
Martti Pura
Tellervo Nousiainen
Markku Rossi
Mirja Ryynänen
Kalle Röntynen
Pauli Saapunki
Eino Siuruainen
Aino Suhola
Hannu Tenhiälä
Jukka Vihriälä
Pekka Viljanen
Markku Vuorensola
Matti Väistö
Saimi Ääri
::Suomen Maaseudun Puolueen eduskuntaryhmä
Raimo Vistbacka
Sulo Aittoniemi
Tina Mäkelä
Marita Mäkinen
Lea Mäkipää
Hannu Suhonen
Heikki Riihijärvi
::Ruotsalainen eduskuntaryhmä
Eva Biaudet
Jörn Donner
Håkan Nordman
Ole Norrback
Jan-Erik Enestam
Elisabeth Rehn
Henrik Lax
Gunnar Jansson
Håkan Malm
Boris Renlund
Margareta Pietikäinen
Henrik Westerlund
::Vihreä eduskuntaryhmä
Ulla Anttila
Pekka Haavisto
Paavo Nikula
Hannele Luukkainen
Satu Hassi
Eero Paloheimo
Erkki Pulliainen
Heidi Hautala
Tuija Maaret Pykäläinen
Pekka Räty
::Liberaalisen kansanpuolueen eduskuntaryhmä
Tuulikki Ukkola
::Kristillisen liiton eduskuntaryhmä
Leea Hiltunen
Bjarne Kallis
Vesa Laukkanen
Toimi Kankaanniemi
Pirkko Laakkonen
Eeva-Liisa Moilanen
Jouko Jääskeläinen
Ismo Seivästö
::Vaihtoehto Suomelle
Vesa Laukkanen
::Vasemmistoliiton eduskuntaryhmä
Raila Aho
Claes Andersson
Asko Apukka
Esko-Juhani Tennilä
Heli Astala
Esko Helle
Jaakko Laakso
Martti Korhonen
Timo Laaksonen
Ensio Laine
Pekka Leppänen
Esko Seppänen
Marjatta Stenius-Kaukonen
Outi Ojala
Iivo Polvi
Osmo Polvinen
Eila Rimmi
Martti Välikangas
Jarmo Wahlström
